"Original_Applicant","Cited_Applicant","weight","distance"
"11i Networks Inc.","FUJITSU LTD",1,1
"1A Smart Start, Inc.","FUJITSU LTD",1,1
"1A Smart Start, Inc.","Intel Co.",1,1
"1PerfectID, Inc.","FUJITSU LTD",2,0.5
"1PerfectID, Inc.","Intel Co.",2,0.5
"1PerfectID, Inc.","NEC Co.",2,0.5
"3VR Security, Inc.","Intel Co.",1,1
"710TH RESEARCH INSTITUTE OF CHINA SHIPBUILDING INDUSTRY CORPORATION","Hitachi, Ltd.",1,1
"710TH RESEARCH INSTITUTE OF CHINA SHIPBUILDING INDUSTRY CORPORATION","Intel Co.",1,1
"710TH RESEARCH INSTITUTE OF CHINA SHIPBUILDING INDUSTRY CORPORATION","SONY",1,1
"9051147 CANADA INC.","Digimarc Corporation",6,0.166666666666667
"9051147 CANADA INC.","FUJITSU LTD",3,0.333333333333333
"9051147 CANADA INC.","Google Inc.",3,0.333333333333333
"9051147 CANADA INC.","Microsoft Co.",3,0.333333333333333
"9051147 CANADA INC.","Samsung",1,1
"A. AKBARZADEH","Google Inc.",1,1
"Aamir, Muhammad Attiq","Honeywell International Inc.",3,0.333333333333333
"Abdallah, David S.","FUJITSU LTD",5,0.2
"Abdallah, David S.","Intel Co.",6,0.166666666666667
"Abdallah, David S.","NEC Co.",5,0.2
"ABDELMONEUM, MOHAMED A.","LG CO.",1,1
"ABE HIROSHI","NEC Co.",1,1
"ABE HIROSHI","SONY",2,0.5
"ABE MASAYUKI","NEC Co.",2,0.5
"ABE TADAYUKI","NEC Co.",2,0.5
"ABE TOJU","FUJITSU LTD",2,0.5
"ABE TOJU","Hitachi, Ltd.",2,0.5
"ABE TOJU","IBM",2,0.5
"ABE TOJU","NEC Co.",1,1
"Abe, Hiroshi","FUJITSU LTD",6,0.166666666666667
"Abe, Hiroshi","Hitachi, Ltd.",7,0.142857142857143
"Abe, Hiroshi","NEC Co.",1,1
"Abe, Hiroshi","SONY",6,0.166666666666667
"ABE, Hiroshi","FUJITSU LTD",1,1
"ABE, Hiroshi","SONY",2,0.5
"Abe, Masayuki","FUJITSU LTD",1,1
"Abe, Narishige","FUJITSU LTD",8,0.125
"Abe, Narishige","Hitachi, Ltd.",2,0.5
"Abe, Narishige","IBM",1,1
"ABE, Narishige","FUJITSU LTD",1,1
"Abe, Tadayuki","FUJITSU LTD",1,1
"Abe, Tadayuki","SONY",1,1
"ABERCROMBIE, Philip J.","Microsoft Co.",1,1
"Aberethy, Jr., Michael N.","Intel Co.",1,1
"ABIKO YUKIHIRO","FUJITSU LTD",4,0.25
"ABIKO YUKIHIRO","SONY",1,1
"Abiko, Yukihiro","FUJITSU LTD",28,0.0357142857142857
"Abiko, Yukihiro","Hitachi, Ltd.",2,0.5
"Abiko, Yukihiro","NEC Co.",11,0.0909090909090909
"Abiko, Yukihiro","SONY",2,0.5
"ABIKO, Yukihiro","FUJITSU LTD",6,0.166666666666667
"ABIKO, Yukihiro","NEC Co.",2,0.5
"Abrahams, Marc David","Canon",1,1
"Abrahams, Marc David","NEC Co.",1,1
"Abram, Philip Michael","SONY",2,0.5
"Abramovich, Gil","Google Inc.",1,1
"Abramovich, Gil","Hitachi, Ltd.",1,1
"Abramovich, Gil","Honeywell International Inc.",2,0.5
"Abramovich, Gil","LG CO.",1,1
"Abramovich, Gil","Microsoft Co.",2,0.5
"Abramovich, Gil","Panasonic",3,0.333333333333333
"Abramovski, Igor","Google Inc.",1,1
"Abramovski, Igor","Microsoft Co.",3,0.333333333333333
"Accenture Global Services Limited","FUJITSU LTD",10,0.1
"Accenture Global Services Limited","Honeywell International Inc.",3,0.333333333333333
"Accenture Global Services Limited","Intel Co.",1,1
"Accenture GmbH","Canon",1,1
"Access Security Protection, LLC","FUJITSU LTD",5,0.2
"Access Security Protection, LLC","Hitachi, Ltd.",2,0.5
"Accomando, Nichoas A.","Honeywell International Inc.",2,0.5
"Accomando, Nichoas A.","LG CO.",1,1
"Accomando, Nichoas A.","SONY",1,1
"Accomando, Nicholas A.","ETRI",1,1
"Accomando, Nicholas A.","Hitachi, Ltd.",1,1
"Accomando, Nicholas A.","Honeywell International Inc.",21,0.0476190476190476
"Accomando, Nicholas A.","LG CO.",6,0.166666666666667
"Accomando, Nicholas A.","SONY",6,0.166666666666667
"ACCRETE:KK","Canon",1,1
"ACER Incorporated","Honeywell International Inc.",1,1
"ACK3 BIONETICS PRIVATE LTD.","Intel Co.",1,1
"ACK3 BIONETICS PRIVATE LTD.","Microsoft Co.",1,1
"Ack3 Bionetics Pte Limited","Intel Co.",2,0.5
"Ack3 Bionetics Pte Limited","Microsoft Co.",2,0.5
"Ackerman, David Alan","LG CO.",1,1
"Ackerman, David Alan","Panasonic",1,1
"Ackerman, David M.","Intel Co.",1,1
"Ackerman, Karl","Hitachi, Ltd.",1,1
"Ackerman, Karl","NEC Co.",1,1
"Actifio, Inc.","Microsoft Co.",1,1
"Activcard Ireland Limited","Canon",3,0.333333333333333
"Activcard Ireland Limited","ETRI",1,1
"Activcard Ireland Limited","FUJITSU LTD",5,0.2
"Activcard Ireland Limited","Hitachi, Ltd.",1,1
"Activcard Ireland Limited","Intel Co.",2,0.5
"Activcard Ireland Limited","NEC Co.",2,0.5
"Activcard Ireland Limited","SONY",1,1
"ACTIVCARD IRELAND LIMITED","FUJITSU LTD",1,1
"Activcard Ireland Ltd.","FUJITSU LTD",2,0.5
"Activcard Ireland Ltd.","NEC Co.",1,1
"ActivCard, Inc.","Canon",1,1
"ActivCard, Inc.","ETRI",1,1
"ActivIdentity, Inc.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",2,0.5
"ActivIdentity, Inc.","FUJITSU LTD",3,0.333333333333333
"ActivIdentity, Inc.","Hitachi, Ltd.",1,1
"ADACHI MITSUNORI","NEC Co.",1,1
"ADACHI TAKAMITSU","Canon",1,1
"ADAM J CHEYER","FUJITSU LTD",1,1
"Adam, Hartwig","Google Inc.",4,0.25
"Adam, Hartwig","Samsung",1,1
"Adam, Hartwig","SONY",1,1
"ADAM, Hartwig","Google Inc.",1,1
"ADAM, Hartwig","Intel Co.",1,1
"ADAM, Hartwig","NEC Co.",1,1
"Adams, Aditha May","SONY",1,1
"Adams, Christopher D.","Apple Inc.",1,1
"Adams, Hartwig","Intel Co.",1,1
"Adams, Neil P.","FUJITSU LTD",2,0.5
"Adams, Neil Patrick","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",13,0.0769230769230769
"Adams, Neil Patrick","FUJITSU LTD",4,0.25
"Adams, Neil Patrick","Hitachi, Ltd.",7,0.142857142857143
"Adams, Neil Patrick","NEC Co.",3,0.333333333333333
"Adams, Neil Patrick","SONY",3,0.333333333333333
"Adams, Samuel","Intel Co.",1,1
"Adams, William M.","FUJITSU LTD",1,1
"Adams, William M.","SONY",1,1
"Adams, William Mark","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Adams, William Mark","FUJITSU LTD",1,1
"Adams, William Mark","SONY",1,1
"Adcock, Sherrie","SONY",1,1
"ADDY KENNETH","Honeywell International Inc.",1,1
"Addy, Kenneth L","Honeywell International Inc.",1,1
"Addy, Kenneth L.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",3,0.333333333333333
"Addy, Kenneth L.","Honeywell International Inc.",2,0.5
"adidas AG","FUJITSU LTD",2,0.5
"adidas AG","Hitachi, Ltd.",2,0.5
"Adobe Systems Incorporated","Canon",1,1
"Adobe Systems Incorporated","Digimarc Corporation",1,1
"Adobe Systems Incorporated","FUJITSU LTD",1,1
"Adobe Systems Incorporated","Google Inc.",1,1
"Adobe Systems Incorporated","Intel Co.",1,1
"Adobe Systems Incorporated","Microsoft Co.",3,0.333333333333333
"ADP, LLC","Digimarc Corporation",1,1
"ADP, LLC","FUJITSU LTD",1,1
"ADP, LLC","Honeywell International Inc.",1,1
"Adrangi, Farid","FUJITSU LTD",1,1
"ADT US HOLDINGS, INC.","FUJITSU LTD",2,0.5
"ADT US HOLDINGS, INC.","Honeywell International Inc.",1,1
"ADT US HOLDINGS, INC.","Samsung",2,0.5
"Ady, Roger W.","Canon",1,1
"Ady, Roger W.","Honeywell International Inc.",1,1
"Ady, Roger W.","Microsoft Co.",2,0.5
"Aerendir Mobile Inc.","FUJITSU LTD",4,0.25
"Aerendir Mobile Inc.","Google Inc.",1,1
"Aerendir Mobile Inc.","Hitachi, Ltd.",1,1
"Aerendir Mobile Inc.","Qualcomm Inc.",1,1
"Aerendir Mobile Inc.","Samsung",2,0.5
"Aetna Inc.","Google Inc.",1,1
"Agapi, Ciprian","Microsoft Co.",1,1
"Agbemabiese, William","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"Agency for Science, Technology and Research Nanyang Technological University","FUJITSU LTD",1,1
"Agnitio SL","FUJITSU LTD",1,1
"Agnitio SL","Intel Co.",2,0.5
"AGNITIO, S.L.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1,1
"AGNITIO, S.L.","Intel Co.",1,1
"Agrafioti, Foteini","SONY",5,0.2
"Agrawal, Arti","FUJITSU LTD",3,0.333333333333333
"Agrawal, Arti","Hitachi, Ltd.",3,0.333333333333333
"Agrawal, Govind","FUJITSU LTD",3,0.333333333333333
"Agrawal, Govind","Hitachi, Ltd.",3,0.333333333333333
"Agrawal, Motilal","Google Inc.",1,1
"Agrawal, Motilal","Honeywell International Inc.",2,0.5
"Agrawal, Sachin Kumar","Digimarc Corporation",1,1
"Agrawal, Sachin Kumar","ETRI",1,1
"Agrawal, Sachin Kumar","Intel Co.",1,1
"Ahern, James","FUJITSU LTD",2,0.5
"Ahern, James","Microsoft Co.",1,1
"AHN JUN-YOUNG","Canon",1,1
"AHN JUN-YOUNG","Intel Co.",1,1
"AHN JUN-YOUNG","NEC Co.",1,1
"Ahn, Chang-geun","NEC Co.",1,1
"AHN, Charles","Apple Inc.",1,1
"Ahn, Do Sung","Hitachi, Ltd.",1,1
"AHN, Jihyun","FUJITSU LTD",1,1
"AHN, Jihyun","Google Inc.",1,1
"AHN, Jihyun","Honeywell International Inc.",1,1
"AHN, Jihyun","LG CO.",1,1
"AHN, Jin Ho","Apple Inc.",1,1
"AHN, Jin Ho","LG CO.",2,0.5
"AHN, KEON JOON","LG CO.",1,1
"AHN, PHIL HYUN","SONY",1,1
"AHN, Shin Young","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",2,0.5
"Ahn, Winnie","SONY",1,1
"AHN, Yehan","FUJITSU LTD",1,1
"AHN, Yumi","FUJITSU LTD",1,1
"AHN, Yumi","Google Inc.",1,1
"AHN, Yumi","Honeywell International Inc.",1,1
"AHN, Yumi","LG CO.",1,1
"Ahrens, Terry","Canon",1,1
"Ahrens, Terry","Honeywell International Inc.",13,0.0769230769230769
"Ahrens, Terry","LG CO.",2,0.5
"Ahrens, Terry","Panasonic",1,1
"Ahuja, Sumeet","FUJITSU LTD",1,1
"AI SPEECH LTD.","Honeywell International Inc.",1,1
"Aiba, Hiroshi","Intel Co.",1,1
"AICENT, INC.","AT&T Intellectual Property",1,1
"AIDA YOSHIHISA","NEC Co.",2,0.5
"AIDA YOSHIHISA","SONY",1,1
"AIDA, Eiji","SONY",1,1
"Aida, Takashi","Canon",2,0.5
"Aida, Takashi","Hitachi, Ltd.",2,0.5
"Aida, Takashi","Intel Co.",2,0.5
"Aida, Takashi","NEC Co.",2,0.5
"AIKAWA SHIN","FUJITSU LTD",3,0.333333333333333
"AIKAWA SHIN","NEC Co.",2,0.5
"Aikawa, Makoto","FUJITSU LTD",4,0.25
"Aikawa, Makoto","Hitachi, Ltd.",2,0.5
"AIKAWA, Makoto","FUJITSU LTD",6,0.166666666666667
