"Original_Topic","Cited_Topic","weight","distance"
1,2,41,0.024390243902439
1,3,32,0.03125
1,4,41,0.024390243902439
1,5,10,0.1
1,6,9,0.111111111111111
1,7,13,0.0769230769230769
1,8,38,0.0263157894736842
1,9,12,0.0833333333333333
1,10,269,0.00371747211895911
1,11,7,0.142857142857143
1,12,1,1
1,13,13,0.0769230769230769
1,15,9,0.111111111111111
1,16,25,0.04
1,17,30,0.0333333333333333
1,18,12,0.0833333333333333
1,19,3,0.333333333333333
1,20,8,0.125
1,21,10,0.1
1,22,11,0.0909090909090909
1,23,6,0.166666666666667
1,24,5,0.2
1,25,2,0.5
1,26,1,1
1,27,5,0.2
1,28,7,0.142857142857143
1,29,14,0.0714285714285714
1,30,149,0.00671140939597315
1,31,2,0.5
1,32,20,0.05
1,33,4,0.25
1,34,56,0.0178571428571429
1,35,9,0.111111111111111
2,1,92,0.0108695652173913
2,3,34,0.0294117647058824
2,4,63,0.0158730158730159
2,5,10,0.1
2,6,13,0.0769230769230769
2,7,36,0.0277777777777778
2,8,35,0.0285714285714286
2,9,19,0.0526315789473684
2,10,343,0.00291545189504373
2,11,49,0.0204081632653061
2,12,3,0.333333333333333
2,13,15,0.0666666666666667
2,14,17,0.0588235294117647
2,15,27,0.037037037037037
2,16,12,0.0833333333333333
2,17,35,0.0285714285714286
2,18,23,0.0434782608695652
2,19,15,0.0666666666666667
2,20,21,0.0476190476190476
2,21,4,0.25
2,22,34,0.0294117647058824
2,23,48,0.0208333333333333
2,24,14,0.0714285714285714
2,25,11,0.0909090909090909
2,26,6,0.166666666666667
2,27,14,0.0714285714285714
2,28,7,0.142857142857143
2,29,38,0.0263157894736842
2,30,106,0.00943396226415094
2,32,38,0.0263157894736842
2,33,13,0.0769230769230769
2,34,106,0.00943396226415094
2,35,19,0.0526315789473684
2,36,13,0.0769230769230769
3,1,31,0.032258064516129
3,2,11,0.0909090909090909
3,4,17,0.0588235294117647
3,5,6,0.166666666666667
3,6,8,0.125
3,7,42,0.0238095238095238
3,8,133,0.0075187969924812
3,9,3,0.333333333333333
3,10,104,0.00961538461538462
3,11,63,0.0158730158730159
3,12,2,0.5
3,13,7,0.142857142857143
3,14,26,0.0384615384615385
3,15,60,0.0166666666666667
3,16,7,0.142857142857143
3,17,11,0.0909090909090909
3,18,8,0.125
3,19,8,0.125
3,20,4,0.25
3,21,1,1
3,22,14,0.0714285714285714
3,23,101,0.0099009900990099
3,24,10,0.1
3,25,4,0.25
3,26,1,1
3,27,2,0.5
3,28,10,0.1
3,29,73,0.0136986301369863
3,30,45,0.0222222222222222
3,32,23,0.0434782608695652
3,33,3,0.333333333333333
3,34,59,0.0169491525423729
3,35,68,0.0147058823529412
3,36,6,0.166666666666667
4,1,13,0.0769230769230769
4,2,20,0.05
4,3,23,0.0434782608695652
4,5,4,0.25
4,6,8,0.125
4,7,17,0.0588235294117647
4,8,11,0.0909090909090909
4,9,10,0.1
4,10,137,0.0072992700729927
4,11,6,0.166666666666667
4,12,7,0.142857142857143
4,13,21,0.0476190476190476
4,14,14,0.0714285714285714
4,15,8,0.125
4,16,5,0.2
4,17,12,0.0833333333333333
4,18,10,0.1
4,19,8,0.125
4,20,18,0.0555555555555556
4,21,13,0.0769230769230769
4,22,38,0.0263157894736842
4,23,15,0.0666666666666667
4,24,5,0.2
4,25,11,0.0909090909090909
4,26,3,0.333333333333333
4,27,3,0.333333333333333
4,28,2,0.5
4,29,28,0.0357142857142857
4,30,13,0.0769230769230769
4,31,2,0.5
4,32,3,0.333333333333333
4,33,13,0.0769230769230769
4,34,40,0.025
4,35,23,0.0434782608695652
4,36,8,0.125
5,1,12,0.0833333333333333
5,2,16,0.0625
5,3,10,0.1
5,4,12,0.0833333333333333
5,6,30,0.0333333333333333
5,7,15,0.0666666666666667
5,8,8,0.125
5,9,3,0.333333333333333
5,10,31,0.032258064516129
5,11,7,0.142857142857143
5,12,10,0.1
5,13,24,0.0416666666666667
5,14,10,0.1
5,15,8,0.125
5,16,11,0.0909090909090909
5,17,4,0.25
5,18,10,0.1
5,19,5,0.2
5,20,14,0.0714285714285714
5,21,4,0.25
5,22,23,0.0434782608695652
5,23,10,0.1
5,24,3,0.333333333333333
5,25,47,0.0212765957446809
5,26,11,0.0909090909090909
5,27,2,0.5
5,28,4,0.25
5,29,52,0.0192307692307692
5,30,12,0.0833333333333333
5,31,16,0.0625
5,32,3,0.333333333333333
5,33,4,0.25
5,34,12,0.0833333333333333
5,35,21,0.0476190476190476
5,36,5,0.2
6,1,4,0.25
6,2,12,0.0833333333333333
6,3,10,0.1
6,4,29,0.0344827586206897
6,5,28,0.0357142857142857
6,7,18,0.0555555555555556
6,8,10,0.1
6,9,4,0.25
6,10,35,0.0285714285714286
6,11,23,0.0434782608695652
6,12,10,0.1
6,13,15,0.0666666666666667
6,14,22,0.0454545454545455
6,15,6,0.166666666666667
6,16,7,0.142857142857143
6,17,16,0.0625
6,18,5,0.2
6,19,3,0.333333333333333
6,20,21,0.0476190476190476
6,21,10,0.1
6,22,26,0.0384615384615385
6,23,20,0.05
6,24,1,1
6,25,51,0.0196078431372549
6,26,9,0.111111111111111
6,27,7,0.142857142857143
6,28,2,0.5
6,29,39,0.0256410256410256
6,30,13,0.0769230769230769
6,31,25,0.04
6,32,1,1
6,33,11,0.0909090909090909
6,34,13,0.0769230769230769
6,35,14,0.0714285714285714
6,36,6,0.166666666666667
7,1,20,0.05
7,2,23,0.0434782608695652
7,3,71,0.0140845070422535
7,4,25,0.04
7,5,12,0.0833333333333333
7,6,9,0.111111111111111
7,8,62,0.0161290322580645
7,9,1,1
7,10,103,0.00970873786407767
7,11,19,0.0526315789473684
7,12,2,0.5
7,13,17,0.0588235294117647
