ID,Checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Saving_accout,Present_employment,Installment_rate,Personal_status___sex,Other_debtors_guarantors,Present_residence,Property,Age,Other_installment_plan,Housing,Num_of_existing_credits,Job,Num_of_people_liable,Telephone,Foreign_worker,Credit_status
1,1,6,4,3,1169,5,5,4,3,1,4,1,67,3,2,2,3,1,2,1,N
2,4,12,4,6,2096,1,4,2,3,1,3,1,49,3,2,1,2,2,1,1,N
3,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1,N
4,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1,N
5,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1,N
6,2,36,2,1,6948,1,3,2,3,1,2,3,35,3,1,1,4,1,2,1,N
7,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1,N
8,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1,N
9,1,15,2,0,1403,1,3,2,2,1,4,3,28,3,1,1,3,1,1,1,N
10,4,24,4,3,2424,5,5,4,3,1,4,2,53,3,2,2,3,1,1,1,N
11,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1,N
12,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1,N
13,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1,N
14,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,N
15,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,2,N
16,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1,N
17,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2,N
18,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1,N
19,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1,N
20,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1,N
21,2,7,2,3,2415,1,3,3,3,3,2,1,34,3,2,1,3,1,1,1,N
22,2,18,2,9,1913,4,2,3,4,1,3,1,36,1,2,1,3,1,2,1,N
23,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,1,1,1,N
24,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,1,N
25,4,12,4,9,1264,5,5,4,3,1,4,4,57,3,1,1,2,1,1,1,N
26,3,12,2,2,1474,1,2,4,2,1,1,2,33,1,2,1,4,1,2,1,N
27,4,48,4,6,6110,1,3,1,3,1,3,4,31,1,3,1,3,1,2,1,N
28,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1,N
29,2,9,2,3,458,1,3,4,3,1,3,1,24,3,2,1,3,1,1,1,N
30,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,1,N
31,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,1,N
32,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1,N
33,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1,N
34,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1,N
35,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,1,N
36,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1,N
37,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1,N
38,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1,N
39,2,24,3,2,2333,5,2,4,3,1,2,2,29,1,2,1,2,1,1,1,N
40,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1,N
41,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,1,N
42,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1,N
43,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1,N
44,4,36,4,3,9566,1,3,2,2,1,2,3,31,2,2,2,3,1,1,1,N
